model,best_val_top1,final_val_top1,final_val_top5,latency_ms,train_time_sec
efficientnet_b0,0.82745,0.82745,0.96455,5.459996461868286,1046.547103047371
mobilenet_v2,0.8041499999999999,0.8041499999999999,0.9581500000000001,3.5519689321517944,810.9479991197586
resnet18,0.7718,0.7718,0.9403,1.6833984851837158,721.6028629541397
shufflenet_v2_x1_0,0.77705,0.77705,0.9514,4.350188374519348,629.2890357971191
squeezenet1_1,0.6483,0.6483,0.8936,1.5186536312103271,570.6676021814346
